"host","parasite","ParType"
"Alouatta_seniculus","Plasmodium brasilianum","Protozoa"
"Alouatta_seniculus","Plasmodium falciparum","Protozoa"
"Alouatta_seniculus","Plasmodium simium","Protozoa"
"Alouatta_seniculus","Plasmodium vivax","Protozoa"
"Alouatta_seniculus","Raillietina demerariensis","Helminth"
"Alouatta_seniculus","Toxoplasma gondii","Protozoa"
"Alouatta_seniculus","Trichuris dispar","Helminth"
"Alouatta_seniculus","Trichuris trichiura","Helminth"
"Alouatta_seniculus","Trypanosoma cruzi","Protozoa"
"Alouatta_seniculus","Trypanosoma hippicum","Protozoa"
"Alouatta_seniculus","Trypanosoma lambrechti","Protozoa"
"Alouatta_seniculus","Trypanosoma minasense","Protozoa"
"Alouatta_seniculus","Trypanosoma mycetae","Protozoa"
"Alouatta_seniculus","Trypanosoma venezuelense","Protozoa"
"Alouatta_seniculus","Trypanoxyuris minutus","Helminth"
"Ammotragus_lervia","Chlamydophila abortus","Bacteria"
"Ammotragus_lervia","Alcelaphine gammaherpesvirus 1","Virus"
"Ammotragus_lervia","Neospora caninum","Protozoa"
"Antidorcas_marsupialis","Agriostomum equidentatum","Helminth"
"Antidorcas_marsupialis","Amblyomma hebraeum","Arthropod"
"Antidorcas_marsupialis","Amblyomma marmoreum","Arthropod"
"Antidorcas_marsupialis","Bacillus anthracis","Bacteria"
"Antidorcas_marsupialis","Bronchonema magna","Helminth"
"Antidorcas_marsupialis","Cooperia rotundispiculum","Helminth"
"Antidorcas_marsupialis","Cooperioides antidorca","Helminth"
"Antidorcas_marsupialis","Damalinia antidorcus","Arthropod"
"Antidorcas_marsupialis","Haemonchus bedfordi","Helminth"
"Antidorcas_marsupialis","Haemonchus contortus","Helminth"
"Antidorcas_marsupialis","Hippobosca rufipes","Arthropod"
"Antidorcas_marsupialis","Hyalomma marginatum","Arthropod"
"Antidorcas_marsupialis","Hyalomma truncatum","Arthropod"
"Antidorcas_marsupialis","Impalaia nudicollis","Helminth"
"Antidorcas_marsupialis","Ixodes rubicundus","Arthropod"
"Antidorcas_marsupialis","Linognathus antidorcitis","Arthropod"
"Antidorcas_marsupialis","Linognathus armatus","Arthropod"
"Antidorcas_marsupialis","Linognathus bedfordi","Arthropod"
"Antidorcas_marsupialis","Linognathus digitalis","Arthropod"
"Antidorcas_marsupialis","Linognathus euchore","Arthropod"
"Antidorcas_marsupialis","Lipoptena sepiacea","Arthropod"
"Antidorcas_marsupialis","Longistrongylus albifrontis","Helminth"
"Antidorcas_marsupialis","Longistrongylus curvispiculum","Helminth"
"Antidorcas_marsupialis","Longistrongylus namaquensis","Helminth"
"Antidorcas_marsupialis","Longistrongylus sabie","Helminth"
"Antidorcas_marsupialis","Crimean congo hemorrhagic fever nairovirus","Virus"
"Antidorcas_marsupialis","Nematodirus spathiger","Helminth"
"Antidorcas_marsupialis","Oesophagostomum africanum","Helminth"
"Antidorcas_marsupialis","Ostertagia ostertagi","Helminth"
"Antidorcas_marsupialis","Paracooperia serrata","Helminth"
"Antidorcas_marsupialis","Rhinoestrus antidorcitis","Arthropod"
"Antidorcas_marsupialis","Rhinoestrus vanzyli","Arthropod"
"Antidorcas_marsupialis","Rhipicephalus decoloratus","Arthropod"
"Antidorcas_marsupialis","Rhipicephalus evertsi","Arthropod"
"Antidorcas_marsupialis","Rhipicephalus exophthalmos","Arthropod"
"Antidorcas_marsupialis","Rhipicephalus glabroscutatum","Arthropod"
"Antidorcas_marsupialis","Rhipicephalus neumanni","Arthropod"
"Antidorcas_marsupialis","Sarcocystis gazellae","Protozoa"
"Antidorcas_marsupialis","Sarcocystis woodhousei","Protozoa"
"Antidorcas_marsupialis","Teladorsagia hamata","Helminth"
"Antidorcas_marsupialis","Trichostrongylus colubriformis","Helminth"
"Antidorcas_marsupialis","Trichostrongylus deflexus","Helminth"
"Antidorcas_marsupialis","Trichostrongylus falculatus","Helminth"
"Antidorcas_marsupialis","Trichostrongylus minor","Helminth"
"Antilocapra_americana","Chlamydia psittaci","Bacteria"
"Antilocapra_americana","Alcelaphine gammaherpesvirus 1","Virus"
"Antilocapra_americana","Mannheimia haemolytica","Bacteria"
"Antilocapra_americana","Bluetongue virus","Virus"
"Antilocapra_americana","Epizootic hemorrhagic disease virus","Virus"
"Antilocapra_americana","Pasteurella multocida","Bacteria"
"Antilocapra_americana","Bovine viral diarrhea virus 1","Virus"
"Antilocapra_americana","Bovine respiratory syncytial virus","Virus"
"Antilocapra_americana","Bovine parainfluenza virus 3","Virus"
"Antilocapra_americana","Human parainfluenza virus 3","Virus"
"Antilocapra_americana","Toxascaris leonina","Helminth"
"Antilocapra_americana","Toxoplasma gondii","Protozoa"
"Antilocapra_americana","Bovine alphaherpesvirus 1","Virus"
"Antilocapra_americana","New jersey vesiculovirus","Virus"
"Antilope_cervicapra","Amblyomma americanum","Arthropod"
"Antilope_cervicapra","Damalinia balanicus","Arthropod"
"Antilope_cervicapra","Damalinia cornutus","Arthropod"
"Antilope_cervicapra","Dermacentor albipictus","Arthropod"
"Antilope_cervicapra","Haemaphysalis leporispalustris","Arthropod"
"Antilope_cervicapra","Linognathus cervicaprae","Arthropod"
"Antilope_cervicapra","Linognathus pithodes","Arthropod"
"Antilope_cervicapra","Lipoptena mazamae","Arthropod"
"Antilope_cervicapra","Mycobacterium tuberculosis","Bacteria"
"Antilope_cervicapra","Psoroptes cuniculi","Arthropod"
"Aotus_azarae","Tetragynopus aotophilus","Arthropod"
"Aotus_azarae","Trypanosoma cruzi","Protozoa"
"Aotus_azarae","Trypanosoma minasense","Protozoa"
"Aotus_nancymaae","Aototrema dorsogenitalis","Helminth"
"Aotus_nancymaae","Athesmia heterolecithodes","Helminth"
"Aotus_nancymaae","Dipetalonema gracile","Helminth"
"Aotus_nancymaae","Hymenolepis diminuta","Helminth"
