Order	Family	Genus	Species	Island_endemicity_Strict_definition	Island_endemicity_Classical_definition	Extinct_or_extant										
CETARTIODACTYLA	BOVIDAE	Bubalus	grovesi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
CETARTIODACTYLA	BOVIDAE	Bubalus	mindorensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CETARTIODACTYLA	BOVIDAE	Bubalus	quarlesi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Bullimus	bagobus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Bullimus	gamay	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Bullimus	luzonicus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Bunomys	andrewsi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Bunomys	chrysocomus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Bunomys	coelestis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Bunomys	fratrorum	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Bunomys	penitus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Bunomys	prolatus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	SCIURIDAE	Callosciurus	melanogaster	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Canariomys	bravoi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
RODENTIA	MURIDAE	Canariomys	tamarani	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
CETARTIODACTYLA	CERVIDAE	Candiacervus	cretensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
CETARTIODACTYLA	CERVIDAE	Candiacervus	dorothensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
CETARTIODACTYLA	CERVIDAE	Candiacervus	major	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
CETARTIODACTYLA	CERVIDAE	Candiacervus	rethymnensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
CETARTIODACTYLA	CERVIDAE	Candiacervus	ropalophorus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
CETARTIODACTYLA	CERVIDAE	Candiacervus	SpII	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
CETARTIODACTYLA	CERVIDAE	Capreolus	miyakoensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
CETARTIODACTYLA	BOVIDAE	Capricornis	crispus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	CAPROMYIDAE	Capromys	garridoi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	CAPROMYIDAE	Capromys	pilorides	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Carpomys	melanurus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Carpomys	phaeurus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CETARTIODACTYLA	CERVIDAE	Cervus	astylodon	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
CHIROPTERA	MOLOSSIDAE	Chaerephon	bregullae	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	MOLOSSIDAE	Chaerephon	jobimena	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	MOLOSSIDAE	Chaerephon	solomonis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	MOLOSSIDAE	Chaerephon	tomensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	VESPERTILIONIDAE	Chalinolobus	neocaledonicus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	VESPERTILIONIDAE	Chalinolobus	tuberculatus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	CHEIROGALEIDAE	Cheirogaleus	crossleyi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	CHEIROGALEIDAE	Cheirogaleus	major	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	CHEIROGALEIDAE	Cheirogaleus	medius	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	CHEIROGALEIDAE	Cheirogaleus	minusculus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	CHEIROGALEIDAE	Cheirogaleus	sibreei	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	MOLOSSIDAE	Cheiromeles	parvidens	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	NATALIDAE	Chilonatalus	micropus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	NATALIDAE	Chilonatalus	tumidifrons	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Chimarrogale	platycephalus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PHYLLOSTOMIDAE	Chiroderma	improvisum	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Chiropodomys	calamianensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Chiropodomys	karlkoopmani	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Chrotomys	gonzalesi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Chrotomys	mindorensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Chrotomys	sibuyanensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Chrotomys	silaceus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Chrotomys	whiteheadi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	EMBALLONURIDAE	Coleura	seychellensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Coryphomys	buehleri	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
RODENTIA	MURIDAE	Coryphomys	musseri	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
RODENTIA	MURIDAE	Crateromys	australis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Crateromys	heaneyi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Crateromys	paulus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Crateromys	schadenbergi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	andamanensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	beatus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	canariensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	dsinezumi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	elongata	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	grandis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	grayi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	hispida	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	jenkinsi	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	lea	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	levicula	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	mindorus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	musseri	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	negrina	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	nicobarica	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	nigripes	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	orii	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	palawanensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	rhoditis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	tenuis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	thomensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	trichura	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	watasei	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
EULIPOTYPHLA	SORICIDAE	Crocidura	zimmermanni	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Crunomys	celebensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Crunomys	fallax	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Crunomys	melanius	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	MURIDAE	Crunomys	suncoides	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CARNIVORA	EUPLERIDAE	Cryptoprocta	ferox	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CARNIVORA	EUPLERIDAE	Cryptoprocta	spelea	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
DERMOPTERA	CYNOCEPHALIDAE	Cynocephalus	volans	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CHIROPTERA	PTEROPODIDAE	Cynopterus	luzoniensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
CARNIVORA	CANIDAE	Cynotherium	sardous	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
DIPROTODONTIA	PETAURIDAE	Dactylopsila	tatei	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
RODENTIA	DASYPROCTIDAE	Dasyprocta	ruatanica	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	DAUBENTONIIDAE	Daubentonia	madagascariensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extant										
PRIMATES	DAUBENTONIIDAE	Daubentonia	robustus	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
CHIROPTERA	PHYLLOSTOMIDAE	Desmodus	puntajudensis	Endemic_to_strictly_defined_islands	Endemic_to_classically_defined_islands	Extinct										
