"host","parasite","ParType","database"
"Antidorcas_marsupialis","Bacillus anthracis","Bacteria","gmpd"
"Antidorcas_marsupialis","Bronchonema magna","Helminth","gmpd"
"Antidorcas_marsupialis","Cooperia rotundispiculum","Helminth","gmpd"
"Antidorcas_marsupialis","Cooperioides antidorca","Helminth","gmpd"
"Antidorcas_marsupialis","Damalinia antidorcus","Arthropod","gmpd"
"Antidorcas_marsupialis","Haemonchus bedfordi","Helminth","gmpd"
"Antidorcas_marsupialis","Haemonchus contortus","Helminth","gmpd"
"Antidorcas_marsupialis","Hippobosca rufipes","Arthropod","gmpd"
"Antidorcas_marsupialis","Hyalomma marginatum","Arthropod","gmpd"
"Antidorcas_marsupialis","Hyalomma truncatum","Arthropod","gmpd"
"Antidorcas_marsupialis","Impalaia nudicollis","Helminth","gmpd"
"Antidorcas_marsupialis","Ixodes rubicundus","Arthropod","gmpd"
"Antidorcas_marsupialis","Linognathus antidorcitis","Arthropod","gmpd"
"Antidorcas_marsupialis","Linognathus armatus","Arthropod","gmpd"
"Antidorcas_marsupialis","Linognathus bedfordi","Arthropod","gmpd"
"Antidorcas_marsupialis","Linognathus digitalis","Arthropod","gmpd"
"Antidorcas_marsupialis","Linognathus euchore","Arthropod","gmpd"
"Antidorcas_marsupialis","Lipoptena sepiacea","Arthropod","gmpd"
"Antidorcas_marsupialis","Longistrongylus albifrontis","Helminth","gmpd"
"Antidorcas_marsupialis","Longistrongylus curvispiculum","Helminth","gmpd"
"Antidorcas_marsupialis","Longistrongylus namaquensis","Helminth","gmpd"
"Antidorcas_marsupialis","Longistrongylus sabie","Helminth","gmpd"
"Antidorcas_marsupialis","Crimean congo hemorrhagic fever nairovirus","Virus","gmpd"
"Antidorcas_marsupialis","Nematodirus spathiger","Helminth","gmpd"
"Antidorcas_marsupialis","Oesophagostomum africanum","Helminth","gmpd"
"Antidorcas_marsupialis","Ostertagia ostertagi","Helminth","gmpd"
"Antidorcas_marsupialis","Paracooperia serrata","Helminth","gmpd"
"Antidorcas_marsupialis","Rhinoestrus antidorcitis","Arthropod","gmpd"
"Antidorcas_marsupialis","Rhinoestrus vanzyli","Arthropod","gmpd"
"Antidorcas_marsupialis","Rhipicephalus decoloratus","Arthropod","gmpd"
"Antidorcas_marsupialis","Rhipicephalus evertsi","Arthropod","gmpd"
"Antidorcas_marsupialis","Rhipicephalus exophthalmos","Arthropod","gmpd"
"Antidorcas_marsupialis","Rhipicephalus glabroscutatum","Arthropod","gmpd"
"Antidorcas_marsupialis","Rhipicephalus neumanni","Arthropod","gmpd"
"Antidorcas_marsupialis","Sarcocystis gazellae","Protozoa","gmpd"
"Antidorcas_marsupialis","Sarcocystis woodhousei","Protozoa","gmpd"
"Antidorcas_marsupialis","Teladorsagia hamata","Helminth","gmpd"
"Antidorcas_marsupialis","Trichostrongylus colubriformis","Helminth","gmpd"
"Antidorcas_marsupialis","Trichostrongylus deflexus","Helminth","gmpd"
"Antidorcas_marsupialis","Trichostrongylus falculatus","Helminth","gmpd"
"Antidorcas_marsupialis","Trichostrongylus minor","Helminth","gmpd"
"Antilocapra_americana","Chlamydia psittaci","Bacteria","gmpd"
"Antilocapra_americana","Alcelaphine gammaherpesvirus 1","Virus","gmpd"
"Antilocapra_americana","Mannheimia haemolytica","Bacteria","gmpd"
"Antilocapra_americana","Bluetongue virus","Virus","gmpd"
"Antilocapra_americana","Epizootic hemorrhagic disease virus","Virus","gmpd"
"Antilocapra_americana","Pasteurella multocida","Bacteria","gmpd"
"Antilocapra_americana","Bovine viral diarrhea virus 1","Virus","gmpd"
"Antilocapra_americana","Bovine respiratory syncytial virus","Virus","gmpd"
"Antilocapra_americana","Bovine parainfluenza virus 3","Virus","gmpd"
"Antilocapra_americana","Human parainfluenza virus 3","Virus","gmpd"
"Antilocapra_americana","Toxascaris leonina","Helminth","gmpd"
"Antilocapra_americana","Toxoplasma gondii","Protozoa","gmpd"
"Antilocapra_americana","Bovine alphaherpesvirus 1","Virus","gmpd"
"Antilocapra_americana","New jersey vesiculovirus","Virus","gmpd"
"Antilope_cervicapra","Amblyomma americanum","Arthropod","gmpd"
"Antilope_cervicapra","Damalinia balanicus","Arthropod","gmpd"
"Antilope_cervicapra","Damalinia cornutus","Arthropod","gmpd"
"Antilope_cervicapra","Dermacentor albipictus","Arthropod","gmpd"
"Antilope_cervicapra","Haemaphysalis leporispalustris","Arthropod","gmpd"
"Antilope_cervicapra","Linognathus cervicaprae","Arthropod","gmpd"
"Antilope_cervicapra","Linognathus pithodes","Arthropod","gmpd"
"Antilope_cervicapra","Lipoptena mazamae","Arthropod","gmpd"
"Antilope_cervicapra","Mycobacterium tuberculosis","Bacteria","gmpd"
"Antilope_cervicapra","Psoroptes cuniculi","Arthropod","gmpd"
"Aotus_azarae","Tetragynopus aotophilus","Arthropod","gmpd"
"Aotus_azarae","Trypanosoma cruzi","Protozoa","gmpd"
"Aotus_azarae","Trypanosoma minasense","Protozoa","gmpd"
"Aotus_nancymaae","Aototrema dorsogenitalis","Helminth","gmpd"
"Aotus_nancymaae","Athesmia heterolecithodes","Helminth","gmpd"
"Aotus_nancymaae","Dipetalonema gracile","Helminth","gmpd"
"Aotus_nancymaae","Hymenolepis diminuta","Helminth","gmpd"
"Aotus_nancymaae","Phaneropsolus orbicularis","Helminth","gmpd"
"Aotus_nancymaae","Primasubulura jacchi","Helminth","gmpd"
"Aotus_nancymaae","Prosthenorchis elegans","Helminth","gmpd"
"Aotus_nancymaae","Trypanoxyuris microon","Helminth","gmpd"
"Aotus_trivirgatus","Alouattamyia baeri","Arthropod","gmpd"
"Aotus_trivirgatus","Dipetalonema barbascalensis","Helminth","gmpd"
"Aotus_trivirgatus","Dipetalonema gracile","Helminth","gmpd"
"Aotus_trivirgatus","Yellow fever virus","Virus","gmpd"
"Aotus_trivirgatus","Hepatovirus a","Virus","gmpd"
"Aotus_trivirgatus","Mansonella marmosetae","Helminth","gmpd"
"Aotus_trivirgatus","Salmonella enterica","Bacteria","gmpd"
"Aotus_trivirgatus","Trypanosoma minasense","Protozoa","gmpd"
"Aotus_trivirgatus","Trypanoxyuris microon","Helminth","gmpd"
"Aotus_vociferans","Hymenolepis diminuta","Helminth","gmpd"
"Aotus_vociferans","Iodamoeba butschlii","Protozoa","gmpd"
"Aotus_vociferans","Plasmodium brasilianum","Protozoa","gmpd"
"Aotus_vociferans","Schistosoma mansoni","Helminth","gmpd"
"Arctictis_binturong","Rhipicephalus haemaphysaloides","Arthropod","gmpd"
"Arctocebus_calabarensis","Trypanosoma brucei","Protozoa","gmpd"
"Arctocebus_calabarensis","Trypanosoma congolense","Protozoa","gmpd"
"Arctocephalus_australis","Contracaecum ogmorhini","Helminth","gmpd"
"Arctocephalus_australis","Corynosoma australe","Helminth","gmpd"
"Arctocephalus_australis","Influenza a virus","Virus","gmpd"
"Arctocephalus_australis","Influenza b virus","Virus","gmpd"
"Arctocephalus_australis","Mycobacterium bovis","Bacteria","gmpd"
"Arctocephalus_australis","Mycobacterium tuberculosis","Bacteria","gmpd"
"Arctocephalus_australis","Corynosoma cetaceum","Helminth","gmpd"
"Arctocephalus_australis","Unicinaria lucasi","Helminth","gmpd"
"Arctocephalus_forsteri","Escherichia coli","Bacteria","gmpd"
"Arctocephalus_forsteri","Leptospira borgpetersenii","Bacteria","gmpd"
"Arctocephalus_forsteri","Leptospira interrogans","Bacteria","gmpd"
"Arctocephalus_forsteri","Parafilaroides normani","Helminth","gmpd"
"Arctocephalus_galapagoensis","Mammalian orthoreovirus","Virus","gmpd"
"Arctocephalus_gazella","Acinetobacter antiviralis","Bacteria","gmpd"
"Arctocephalus_gazella","Aerococcus viridans","Bacteria","gmpd"
